Month,incidents,demand_points,high_harm_incidents
2024-01,452162,1362771.8,169919
2024-02,441299,1314755.6,164049
2024-03,475409,1410547.8,175414
2024-04,474679,1380581.5,167440
2024-05,516292,1507111.5,187115
2024-06,503750,1466774.5,181255
2024-07,521766,1516375.7,186910
2024-08,508598,1461397.4,177358
2024-09,473583,1391723.6,171699
2024-10,498918,1448803.6,176083
2024-11,469575,1378585.0,168629
2024-12,439403,1327110.8,167440
2025-01,437570,1312535.7,164721
2025-02,413953,1230710.8,153873
2025-03,482589,1424917.5,178991
2025-04,475585,1384716.7,172274
2025-05,503085,1475898.8,186007
2025-06,499911,1477273.5,188733
2025-07,529699,1561325.3,199874
2025-08,500825,1476922.8,188630
2025-09,457401,1353449.3,170167
2025-10,476494,1402995.7,175404
2025-11,450557,1347078.4,169895
2025-12,433174,1317931.7,169360
