Month,incidents,demand_points,high_harm_incidents
2023-04,489644.0,1442694.8,177731.0
2023-05,513466.0,1508193.4,187599.0
2023-06,522245.0,1529907.1,190941.0
2023-07,512812.0,1489374.2,182647.0
2023-08,500416.0,1437118.5,173129.0
2023-09,494086.0,1450195.4,179939.0
2023-10,495684.0,1451193.8,177246.0
2023-11,462884.0,1376593.6,169379.0
2023-12,445251.0,1358845.0,172242.0
2024-01,452162.0,1362771.8,169919.0
2024-02,441299.0,1314755.6,164049.0
2024-03,475409.0,1410547.8,175414.0
2024-04,474679.0,1380581.5,167440.0
2024-05,516292.0,1507111.5,187115.0
2024-06,503750.0,1466774.5,181255.0
2024-07,521766.0,1516375.7,186910.0
2024-08,508598.0,1461397.4,177358.0
2024-09,473583.0,1391723.6,171699.0
2024-10,498918.0,1448803.6,176083.0
2024-11,469575.0,1378585.0,168629.0
2024-12,439403.0,1327110.8,167440.0
2025-01,437570.0,1312535.7,164721.0
2025-02,413953.0,1230710.8,153873.0
2025-03,482589.0,1424917.5,178991.0
2025-04,475585.0,1384716.7,172274.0
2025-05,503085.0,1475898.8,186007.0
2025-06,499911.0,1477273.5,188733.0
2025-07,529699.0,1561325.3,199874.0
2025-08,500825.0,1476922.8,188630.0
2025-09,457401.0,1353449.3,170167.0
2025-10,476494.0,1402995.7,175404.0
2025-11,450557.0,1347078.4,169895.0
2025-12,433174.0,1317931.7,169360.0
2026-01,419177.0,1276867.0,164628.0
2026-02,404786.0,1220605.4,156205.0
2026-03,466672.0,1391954.7,177139.0
